,f,mi
155,history_recruitmentfvery_good,0.0
156,history_ringingfvery_good,0.1994545087134597
157,history_roaringfvery_good,0.0
158,history_vomitingfvery_good,0.0
159,late_wave_poorfvery_good,0.0
160,m_at_2kfvery_good,0.0
161,m_cond_lt_1kfvery_good,0.0
162,m_gt_1kfvery_good,0.1994545087134597
163,m_m_gt_2kfvery_good,0.0
164,m_m_snfvery_good,0.0
165,m_m_sn_gt_1kfvery_good,0.0
166,m_m_sn_gt_2kfvery_good,0.12419419475142507
167,m_m_sn_gt_500fvery_good,0.0
168,m_p_sn_gt_2kfvery_good,0.0
169,m_s_gt_500fvery_good,0.0
170,m_s_snfvery_good,0.0
171,m_s_sn_gt_1kfvery_good,0.0
172,m_s_sn_gt_2kfvery_good,0.0
173,m_s_sn_gt_3kfvery_good,0.0
174,m_s_sn_gt_4kfvery_good,0.0
175,m_sn_2_3kfvery_good,0.0
176,m_sn_gt_1kfvery_good,0.0
177,m_sn_gt_2kfvery_good,0.12419419475142507
178,m_sn_gt_3kfvery_good,0.0
179,m_sn_gt_4kfvery_good,0.0
180,m_sn_gt_500fvery_good,0.0
181,m_sn_gt_6kfvery_good,0.0
182,m_sn_lt_1kfvery_good,0.1994545087134597
183,m_sn_lt_2kfvery_good,0.0
184,m_sn_lt_3kfvery_good,0.0
185,middle_wave_poorfvery_good,0.0
186,mod_gt_4kfvery_good,0.0
187,mod_mixedfvery_good,0.0
188,mod_s_mixedfvery_good,0.0
189,mod_s_sn_gt_500fvery_good,0.0
190,mod_snfvery_good,0.0
191,mod_sn_gt_1kfvery_good,0.0
192,mod_sn_gt_2kfvery_good,0.0
193,mod_sn_gt_3kfvery_good,0.12419419475142507
194,mod_sn_gt_4kfvery_good,0.0
195,mod_sn_gt_500fvery_good,0.0
196,notch_4kfvery_good,0.12419419475142507
197,notch_at_4kfvery_good,0.12419419475142507
198,o_ar_cfvery_good,0.5140366686981632
199,o_ar_ufvery_good,0.35689401440583446
200,s_sn_gt_1kfvery_good,0.0
201,s_sn_gt_2kfvery_good,0.1994545087134597
202,s_sn_gt_4kfvery_good,0.0
203,speechfvery_good,0.0
204,static_normalfvery_good,0.0
205,tympfvery_good,0.6565559755075031
206,viith_nerve_signsfvery_good,0.0
207,wave_V_delayedfvery_good,0.0
208,waveform_ItoV_prolongedfvery_good,0.0
209,indentifierfvery_good,0.8989694450045904
210,age_gt_60tnormal,0.0
211,airtnormal,0.21244749867476959
212,airBoneGaptnormal,0.3890787010422885
213,ar_ctnormal,0.613764146425007
214,ar_utnormal,0.6201350095366085
215,bonetnormal,0.6448270731766065
216,boneAbnormaltnormal,0.5381715377198218
217,bsertnormal,0.0
218,history_buzzingtnormal,0.0
219,history_dizzinesstnormal,0.3860110148906951
220,history_fluctuatingtnormal,0.0
221,history_fullnesstnormal,0.0
222,history_hereditytnormal,0.0
