,f,mi
154,history_noisefvery_good,0.4586497721930519
155,history_recruitmentfvery_good,0.0
156,history_ringingfvery_good,0.1823207413437831
157,history_roaringfvery_good,0.0
158,history_vomitingfvery_good,0.0
159,late_wave_poorfvery_good,0.0
160,m_at_2kfvery_good,0.0
161,m_cond_lt_1kfvery_good,0.0
162,m_gt_1kfvery_good,0.1823207413437831
163,m_m_gt_2kfvery_good,0.0
164,m_m_snfvery_good,0.0
165,m_m_sn_gt_1kfvery_good,0.0
166,m_m_sn_gt_2kfvery_good,0.0921748676305261
167,m_m_sn_gt_500fvery_good,0.0
168,m_p_sn_gt_2kfvery_good,0.0
169,m_s_gt_500fvery_good,0.0
170,m_s_snfvery_good,0.0
171,m_s_sn_gt_1kfvery_good,0.0
172,m_s_sn_gt_2kfvery_good,0.0
173,m_s_sn_gt_3kfvery_good,0.0
174,m_s_sn_gt_4kfvery_good,0.0
175,m_sn_2_3kfvery_good,0.0
176,m_sn_gt_1kfvery_good,0.0921748676305261
177,m_sn_gt_2kfvery_good,0.07613364615911541
178,m_sn_gt_3kfvery_good,0.0
179,m_sn_gt_4kfvery_good,0.0
180,m_sn_gt_500fvery_good,0.0
181,m_sn_gt_6kfvery_good,0.0
182,m_sn_lt_1kfvery_good,0.1823207413437831
183,m_sn_lt_2kfvery_good,0.0
184,m_sn_lt_3kfvery_good,0.0
185,middle_wave_poorfvery_good,0.0
186,mod_gt_4kfvery_good,0.0
187,mod_mixedfvery_good,0.0
188,mod_s_mixedfvery_good,0.0
189,mod_s_sn_gt_500fvery_good,0.0
190,mod_snfvery_good,0.0
191,mod_sn_gt_1kfvery_good,0.0
192,mod_sn_gt_2kfvery_good,0.0
193,mod_sn_gt_3kfvery_good,0.1565963104834899
194,mod_sn_gt_4kfvery_good,0.0
195,mod_sn_gt_500fvery_good,0.0
196,notch_4kfvery_good,0.0921748676305261
197,notch_at_4kfvery_good,0.19514019517553652
198,o_ar_cfvery_good,0.5340861807309881
199,o_ar_ufvery_good,0.33789362551928376
200,s_sn_gt_1kfvery_good,0.0
201,s_sn_gt_2kfvery_good,0.1823207413437831
202,s_sn_gt_4kfvery_good,0.0
203,speechfvery_good,0.0
204,static_normalfvery_good,0.0
205,tympfvery_good,0.6199347341243416
206,viith_nerve_signsfvery_good,0.0
207,wave_V_delayedfvery_good,0.0
208,waveform_ItoV_prolongedfvery_good,0.0
209,indentifierfvery_good,0.8506228871788425
210,age_gt_60tnormal,0.0
211,airtnormal,0.16752843260146213
212,airBoneGaptnormal,0.40463703483036784
213,ar_ctnormal,0.6245600456218176
214,ar_utnormal,0.5668652301972124
215,bonetnormal,0.4983002700338944
216,boneAbnormaltnormal,0.5334322150532055
217,bsertnormal,0.0
218,history_buzzingtnormal,0.0
219,history_dizzinesstnormal,0.3716185914005221
220,history_fluctuatingtnormal,0.0
221,history_fullnesstnormal,0.0
222,history_hereditytnormal,0.0
223,history_nauseatnormal,0.3716185914005221
224,history_noisetnormal,0.24175459938587027
225,history_recruitmenttnormal,0.0
226,history_ringingtnormal,0.0
227,history_roaringtnormal,0.0
228,history_vomitingtnormal,0.0
229,late_wave_poortnormal,0.0
230,m_at_2ktnormal,0.0
231,m_cond_lt_1ktnormal,0.0
232,m_gt_1ktnormal,0.0
233,m_m_gt_2ktnormal,0.0
234,m_m_sntnormal,0.0
235,m_m_sn_gt_1ktnormal,0.0
236,m_m_sn_gt_2ktnormal,0.0
237,m_m_sn_gt_500tnormal,0.0
238,m_p_sn_gt_2ktnormal,0.0
239,m_s_gt_500tnormal,0.0
240,m_s_sntnormal,0.0
241,m_s_sn_gt_1ktnormal,0.0
242,m_s_sn_gt_2ktnormal,0.0
243,m_s_sn_gt_3ktnormal,0.0
244,m_s_sn_gt_4ktnormal,0.04775875244016778
245,m_sn_2_3ktnormal,0.0
246,m_sn_gt_1ktnormal,0.0
247,m_sn_gt_2ktnormal,0.04775875244016778
248,m_sn_gt_3ktnormal,0.0
249,m_sn_gt_4ktnormal,0.13404308063588508
250,m_sn_gt_500tnormal,0.0
251,m_sn_gt_6ktnormal,0.0
252,m_sn_lt_1ktnormal,0.0
253,m_sn_lt_2ktnormal,0.0
254,m_sn_lt_3ktnormal,0.0
255,middle_wave_poortnormal,0.0
256,mod_gt_4ktnormal,0.0
257,mod_mixedtnormal,0.0
258,mod_s_mixedtnormal,0.0
259,mod_s_sn_gt_500tnormal,0.0
260,mod_sntnormal,0.0
261,mod_sn_gt_1ktnormal,0.0
262,mod_sn_gt_2ktnormal,0.0
263,mod_sn_gt_3ktnormal,0.22861280663913336
264,mod_sn_gt_4ktnormal,0.0
265,mod_sn_gt_500tnormal,0.0
266,notch_4ktnormal,0.0
267,notch_at_4ktnormal,0.0
268,o_ar_ctnormal,0.5668652301972124
269,o_ar_utnormal,0.6308970001217825
270,s_sn_gt_1ktnormal,0.0
271,s_sn_gt_2ktnormal,0.3716185914005221
272,s_sn_gt_4ktnormal,0.0
273,speechtnormal,0.0
274,static_normaltnormal,0.0
275,tymptnormal,0.6969080895891442
276,viith_nerve_signstnormal,0.0
277,wave_V_delayedtnormal,0.0
278,waveform_ItoV_prolongedtnormal,0.0
279,indentifiertnormal,0.5987028879508426
280,age_gt_60tgood,1.2148410920265218e-15
281,airtgood,0.28068368861194953
282,airBoneGaptgood,0.48746485311724075
283,ar_ctgood,0.1564683763512523
284,ar_utgood,0.29347060785937334
285,bonetgood,0.1853549625652688
286,boneAbnormaltgood,0.19294731670389353
287,bsertgood,1.2148410920265218e-15
288,history_buzzingtgood,1.2148410920265218e-15
289,history_dizzinesstgood,0.04683268677441016
290,history_fluctuatingtgood,1.2148410920265218e-15
291,history_fullnesstgood,1.2148410920265218e-15
292,history_hereditytgood,1.2148410920265218e-15
293,history_nauseatgood,1.2148410920265218e-15
294,history_noisetgood,0.565819535493474
295,history_recruitmenttgood,1.2148410920265218e-15
296,history_ringingtgood,1.2148410920265218e-15
297,history_roaringtgood,1.2148410920265218e-15
298,history_vomitingtgood,1.2148410920265218e-15
299,late_wave_poortgood,1.2148410920265218e-15
300,m_at_2ktgood,1.2148410920265218e-15
301,m_cond_lt_1ktgood,1.2148410920265218e-15
302,m_gt_1ktgood,1.2148410920265218e-15
303,m_m_gt_2ktgood,0.026325628805349836
304,m_m_sntgood,0.20292621755448587
305,m_m_sn_gt_1ktgood,1.2148410920265218e-15
306,m_m_sn_gt_2ktgood,1.2148410920265218e-15
307,m_m_sn_gt_500tgood,1.2148410920265218e-15
308,m_p_sn_gt_2ktgood,1.2148410920265218e-15
309,m_s_gt_500tgood,1.2148410920265218e-15
310,m_s_sntgood,1.2148410920265218e-15
311,m_s_sn_gt_1ktgood,1.2148410920265218e-15
312,m_s_sn_gt_2ktgood,1.2148410920265218e-15
313,m_s_sn_gt_3ktgood,1.2148410920265218e-15
314,m_s_sn_gt_4ktgood,1.2148410920265218e-15
315,m_sn_2_3ktgood,1.2148410920265218e-15
316,m_sn_gt_1ktgood,0.49214656766710385
317,m_sn_gt_2ktgood,0.026325628805349836
318,m_sn_gt_3ktgood,1.2148410920265218e-15
319,m_sn_gt_4ktgood,0.06548650330538608
320,m_sn_gt_500tgood,1.2148410920265218e-15
321,m_sn_gt_6ktgood,1.2148410920265218e-15
322,m_sn_lt_1ktgood,1.2148410920265218e-15
323,m_sn_lt_2ktgood,1.2148410920265218e-15
324,m_sn_lt_3ktgood,1.2148410920265218e-15
325,middle_wave_poortgood,1.2148410920265218e-15
326,mod_gt_4ktgood,1.2148410920265218e-15
327,mod_mixedtgood,1.2148410920265218e-15
328,mod_s_mixedtgood,1.2148410920265218e-15
329,mod_s_sn_gt_500tgood,1.2148410920265218e-15
330,mod_sntgood,1.2148410920265218e-15
331,mod_sn_gt_1ktgood,1.2148410920265218e-15
332,mod_sn_gt_2ktgood,0.026325628805349836
333,mod_sn_gt_3ktgood,1.2148410920265218e-15
334,mod_sn_gt_4ktgood,1.2148410920265218e-15
335,mod_sn_gt_500tgood,0.255932653679643
336,notch_4ktgood,0.8168504803380583
337,notch_at_4ktgood,1.2148410920265218e-15
338,o_ar_ctgood,0.4921465676671039
339,o_ar_utgood,0.13737750192368395
340,s_sn_gt_1ktgood,1.2148410920265218e-15
341,s_sn_gt_2ktgood,1.2148410920265218e-15
342,s_sn_gt_4ktgood,1.2148410920265218e-15
343,speechtgood,1.2148410920265218e-15
344,static_normaltgood,1.2148410920265218e-15
345,tymptgood,0.48746485311724075
346,viith_nerve_signstgood,1.2148410920265218e-15
347,wave_V_delayedtgood,1.2148410920265218e-15
348,waveform_ItoV_prolongedtgood,1.2148410920265218e-15
349,indentifiertgood,0.32651727755404003
350,age_gt_60tvery_good,7.524480021210092e-16
351,airtvery_good,0.2560932688002749
352,airBoneGaptvery_good,7.524480021210092e-16
353,ar_ctvery_good,0.4826286827962391
354,ar_utvery_good,0.3893355319592547
355,bonetvery_good,0.38255503130964696
356,boneAbnormaltvery_good,0.11419495986900073
357,bsertvery_good,7.524480021210092e-16
358,history_buzzingtvery_good,7.524480021210092e-16
359,history_dizzinesstvery_good,7.524480021210092e-16
360,history_fluctuatingtvery_good,7.524480021210092e-16
361,history_fullnesstvery_good,7.524480021210092e-16
362,history_hereditytvery_good,7.524480021210092e-16
363,history_nauseatvery_good,7.524480021210092e-16
364,history_noisetvery_good,0.47959479203489175
365,history_recruitmenttvery_good,7.524480021210092e-16
366,history_ringingtvery_good,7.524480021210092e-16
367,history_roaringtvery_good,7.524480021210092e-16
368,history_vomitingtvery_good,7.524480021210092e-16
369,late_wave_poortvery_good,7.524480021210092e-16
370,m_at_2ktvery_good,7.524480021210092e-16
371,m_cond_lt_1ktvery_good,7.524480021210092e-16
372,m_gt_1ktvery_good,7.524480021210092e-16
373,m_m_gt_2ktvery_good,7.524480021210092e-16
374,m_m_sntvery_good,0.038314670966744575
375,m_m_sn_gt_1ktvery_good,7.524480021210092e-16
376,m_m_sn_gt_2ktvery_good,0.038314670966744575
377,m_m_sn_gt_500tvery_good,7.524480021210092e-16
378,m_p_sn_gt_2ktvery_good,7.524480021210092e-16
379,m_s_gt_500tvery_good,7.524480021210092e-16
